sampleID	dnaSampleID	siteID	sequencerRunID	internalLabID	collectDate	processedDate	sampleTotalReadNumber	sampleFilteredReadNumber	ncbiProjectID	remarks
GUAN_043-M-20161005	GUAN_043-M-20161005-COMP-DNA1	GUAN	HL77TBGX7	BMI_Plate68WellG3	2016-10-05T14:55:00Z	2018-09-04T00:00:00Z	6348868	2720804	PRJNA406974	paired ends may be out of order
GUAN_049-M-20171107	GUAN_049-M-20171107-COMP-DNA1	GUAN	HWTKKBGX7	BMI_Plate81WellA11	2017-11-07T12:56:00Z	2018-12-10T00:00:00Z	61605969	32704315	PRJNA406974	paired ends may be out of order
GUAN_048-M-20171107	GUAN_048-M-20171107-COMP-DNA1	GUAN	HWTKKBGX7	BMI_Plate81WellA10	2017-11-07T14:52:00Z	2018-12-10T00:00:00Z	8549652	3588386	PRJNA406974	paired ends may be out of order
GUAN_001-M-20171108	GUAN_001-M-20171108-COMP-DNA1	GUAN	HWTKKBGX7	BMI_Plate81WellA2	2017-11-08T12:25:00Z	2018-12-10T00:00:00Z	12629990	5245774	PRJNA406974	paired ends may be out of order
GUAN_042-M-20171108	GUAN_042-M-20171108-COMP-DNA1	GUAN	HWTKKBGX7	BMI_Plate81WellA8	2017-11-08T15:05:00Z	2018-12-10T00:00:00Z	7559341	3070799	PRJNA406974	paired ends may be out of order
GUAN_006-M-20171109	GUAN_006-M-20171109-COMP-DNA1	GUAN	HWTKKBGX7	BMI_Plate81WellA6	2017-11-09T16:07:00Z	2018-12-10T00:00:00Z	11148544	5962376	PRJNA406974	paired ends may be out of order
GUAN_004-M-20171109	GUAN_004-M-20171109-COMP-DNA1	GUAN	HWTKKBGX7	BMI_Plate81WellA5	2017-11-09T18:30:00Z	2018-12-10T00:00:00Z	9360671	4852202	PRJNA406974	paired ends may be out of order
GUAN_043-M-20171110	GUAN_043-M-20171110-COMP-DNA1	GUAN	HWTKKBGX7	BMI_Plate81WellA9	2017-11-10T12:50:00Z	2018-12-10T00:00:00Z	3851644	1396521	PRJNA406974	paired ends may be out of order
GUAN_002-M-20171110	GUAN_002-M-20171110-COMP-DNA1	GUAN	HWTKKBGX7	BMI_Plate81WellA3	2017-11-10T17:13:00Z	2018-12-10T00:00:00Z	10098901	4326837	PRJNA406974	paired ends may be out of order
GUAN_007-M-20171114	GUAN_007-M-20171114-COMP-DNA1	GUAN	HWTKKBGX7	BMI_Plate81WellA7	2017-11-14T14:10:00Z	2018-12-10T00:00:00Z	7264761	3008452	PRJNA406974	paired ends may be out of order
GUAN_003-M-20171114	GUAN_003-M-20171114-COMP-DNA1	GUAN	HWTKKBGX7	BMI_Plate81WellA4	2017-11-14T16:30:00Z	2018-12-10T00:00:00Z	11663014	4693795	PRJNA406974	paired ends may be out of order
GUAN_002-M-20180924	GUAN_002-M-20180924-COMP-DNA1	GUAN	HWVWKBGX7	18S_05_0466	2018-09-24T13:46:00Z	2019-03-01T00:00:00Z	9648347	5849588	PRJNA406974	paired ends may be out of order
GUAN_001-M-20180924	GUAN_001-M-20180924-COMP-DNA1	GUAN	HWVWKBGX7	18S_05_0465	2018-09-24T16:26:00Z	2019-03-01T00:00:00Z	8080561	3358142	PRJNA406974	paired ends may be out of order
GUAN_004-M-20180925	GUAN_004-M-20180925-COMP-DNA1	GUAN	HWVWKBGX7	18S_05_0468	2018-09-25T13:01:00Z	2019-03-17T00:00:00Z	8852	NA	PRJNA406974	paired ends may be out of order
GUAN_007-M-20180925	GUAN_007-M-20180925-COMP-DNA1	GUAN	HWVWKBGX7	18S_05_0470	2018-09-25T15:17:00Z	2019-03-01T00:00:00Z	11866383	5009707	PRJNA406974	paired ends may be out of order
GUAN_003-M-20180925	GUAN_003-M-20180925-COMP-DNA1	GUAN	HWVWKBGX7	18S_05_0467	2018-09-25T17:30:00Z	2019-03-01T00:00:00Z	18787994	7744824	PRJNA406974	paired ends may be out of order
GUAN_049-M-20180926	GUAN_049-M-20180926-COMP-DNA1	GUAN	HWTY2BGX7	18S_12_1114	2018-09-26T12:26:00Z	2019-05-16T00:00:00Z	10193336	4198573	PRJNA406974	paired ends may be out of order
GUAN_048-M-20180926	GUAN_048-M-20180926-COMP-DNA1	GUAN	HWTY2BGX7	18S_12_1113	2018-09-26T14:00:00Z	2019-05-16T00:00:00Z	4862025	3170248	PRJNA406974	paired ends may be out of order
GUAN_042-M-20180926	GUAN_042-M-20180926-COMP-DNA1	GUAN	HWTY2BGX7	18S_12_1111	2018-09-26T16:29:00Z	2019-05-16T00:00:00Z	1424234	893677	PRJNA406974	paired ends may be out of order
GUAN_006-M-20180927	GUAN_006-M-20180927-COMP-DNA1	GUAN	HWVWKBGX7	18S_05_0469	2018-09-27T12:20:00Z	2019-03-01T00:00:00Z	18537517	7824548	PRJNA406974	paired ends may be out of order
GUAN_043-M-20180927	GUAN_043-M-20180927-COMP-DNA1	GUAN	HWTY2BGX7	18S_12_1112	2018-09-27T14:35:00Z	2019-05-16T00:00:00Z	2406035	1951808	PRJNA406974	paired ends may be out of order
LAJA_002-M-20171115	LAJA_002-M-20171115-COMP-DNA1	LAJA	HWVCMBGX7	18S_05_0411	NA	NA	NA	NA	NA	NA
